flight_id,carrier,origin,dest,scheduled_departure,departure_delay,arrival_delay,air_time,distance
93,SW,DFW,SEA,2023-01-04 20:00:00,38.0,,120,853
94,SW,DFW,SFO,2023-01-04 21:00:00,0.0,,139,581
95,AA,JFK,MIA,2023-01-04 22:00:00,0.0,-10.0,85,992
96,SW,DFW,SFO,2023-01-04 23:00:00,6.0,46.0,162,629
97,JB,DFW,PHX,2023-01-05 00:00:00,27.0,42.0,112,477
98,JB,JFK,SEA,2023-01-05 01:00:00,22.0,4.0,113,1102
99,UA,DFW,SFO,2023-01-05 02:00:00,0.0,-10.0,146,558
100,AA,JFK,MIA,2023-01-05 03:00:00,0.0,0.0,38,953
101,AA,DEN,PHX,2023-01-05 04:00:00,0.0,42.0,133,968
102,UA,JFK,ATL,2023-01-05 05:00:00,1.0,-10.0,153,1033
103,DL,ORD,MIA,2023-01-05 06:00:00,26.0,31.0,168,757
104,JB,DFW,SEA,2023-01-05 07:00:00,0.0,30.0,193,1021
105,SW,ORD,SFO,2023-01-05 08:00:00,0.0,6.0,139,809
106,AA,JFK,ATL,2023-01-05 09:00:00,,-7.0,105,704
107,UA,JFK,SFO,2023-01-05 10:00:00,18.0,-3.0,136,1066
108,JB,ORD,SFO,2023-01-05 11:00:00,14.0,12.0,74,549
109,SW,DFW,MIA,2023-01-05 12:00:00,31.0,-10.0,121,707
110,SW,LAX,MIA,2023-01-05 13:00:00,0.0,7.0,160,420
111,JB,DEN,SEA,2023-01-05 14:00:00,0.0,42.0,147,1081
112,DL,DFW,PHX,2023-01-05 15:00:00,0.0,22.0,184,287
113,JB,ORD,ATL,2023-01-05 16:00:00,27.0,,207,957
114,DL,JFK,SEA,2023-01-05 17:00:00,17.0,11.0,63,622
115,DL,LAX,MIA,2023-01-05 18:00:00,,5.0,83,742
116,DL,LAX,ATL,2023-01-05 19:00:00,32.0,23.0,179,688
117,JB,ORD,ATL,2023-01-05 20:00:00,5.0,15.0,140,782
118,SW,JFK,ATL,2023-01-05 21:00:00,44.0,-10.0,109,923
119,UA,DEN,MIA,2023-01-05 22:00:00,1.0,29.0,59,1095
120,JB,ORD,MIA,2023-01-05 23:00:00,72.0,28.0,83,595
121,DL,LAX,ATL,2023-01-06 00:00:00,0.0,22.0,51,1096
122,DL,DFW,MIA,2023-01-06 01:00:00,51.0,-10.0,157,1047
123,DL,JFK,MIA,2023-01-06 02:00:00,24.0,-10.0,81,1150
124,JB,ORD,PHX,2023-01-06 03:00:00,23.0,3.0,115,747
125,DL,ORD,PHX,2023-01-06 04:00:00,16.0,-9.0,140,1135
126,AA,JFK,ATL,2023-01-06 05:00:00,17.0,14.0,76,873
127,UA,ORD,PHX,2023-01-06 06:00:00,0.0,47.0,156,1037
128,JB,ORD,SEA,2023-01-06 07:00:00,4.0,-10.0,34,872
129,UA,JFK,MIA,2023-01-06 08:00:00,35.0,-10.0,114,1186
130,JB,ORD,PHX,2023-01-06 09:00:00,35.0,44.0,137,1219
131,DL,DEN,PHX,2023-01-06 10:00:00,0.0,-9.0,113,624
132,DL,DEN,SFO,2023-01-06 11:00:00,43.0,-7.0,85,928
133,UA,LAX,SEA,2023-01-06 12:00:00,0.0,2.0,170,929
134,DL,JFK,MIA,2023-01-06 13:00:00,0.0,-8.0,113,375
135,DL,DFW,MIA,2023-01-06 14:00:00,7.0,21.0,170,760
136,UA,JFK,ATL,2023-01-06 15:00:00,65.0,21.0,49,831
137,SW,DFW,ATL,2023-01-06 16:00:00,0.0,-10.0,99,609
138,UA,ORD,ATL,2023-01-06 17:00:00,0.0,46.0,190,1118
139,DL,ORD,MIA,2023-01-06 18:00:00,22.0,32.0,85,613
140,AA,DFW,ATL,2023-01-06 19:00:00,0.0,-10.0,148,462
141,UA,DEN,PHX,2023-01-06 20:00:00,31.0,-10.0,160,991
142,DL,JFK,ATL,2023-01-06 21:00:00,4.0,17.0,173,917
143,SW,ORD,MIA,2023-01-06 22:00:00,32.0,-6.0,106,741
144,AA,DFW,PHX,2023-01-06 23:00:00,0.0,-10.0,73,412
145,SW,LAX,PHX,2023-01-07 00:00:00,15.0,-10.0,115,1126
146,JB,DEN,MIA,2023-01-07 01:00:00,8.0,13.0,139,582
147,AA,LAX,SEA,2023-01-07 02:00:00,0.0,-2.0,186,371
148,SW,ORD,MIA,2023-01-07 03:00:00,0.0,10.0,104,859
149,UA,LAX,ATL,2023-01-07 04:00:00,40.0,-1.0,110,712
150,JB,ORD,SFO,2023-01-07 05:00:00,52.0,32.0,112,706
151,UA,JFK,PHX,2023-01-07 06:00:00,0.0,20.0,123,597
152,AA,JFK,PHX,2023-01-07 07:00:00,35.0,10.0,102,976
153,UA,LAX,SEA,2023-01-07 08:00:00,22.0,11.0,157,1072
154,UA,JFK,ATL,2023-01-07 09:00:00,7.0,-10.0,152,1238
155,DL,DFW,ATL,2023-01-07 10:00:00,0.0,30.0,149,1152
156,JB,JFK,MIA,2023-01-07 11:00:00,19.0,-10.0,147,1063
157,JB,DFW,ATL,2023-01-07 12:00:00,33.0,-10.0,129,557
158,JB,LAX,SEA,2023-01-07 13:00:00,0.0,12.0,39,684
159,SW,DFW,PHX,2023-01-07 14:00:00,4.0,,145,1341
160,DL,LAX,PHX,2023-01-07 15:00:00,0.0,-10.0,74,865
161,AA,DEN,PHX,2023-01-07 16:00:00,0.0,-6.0,89,528
162,SW,DFW,ATL,2023-01-07 17:00:00,0.0,26.0,75,939
163,AA,JFK,PHX,2023-01-07 18:00:00,26.0,-10.0,127,1251
164,SW,LAX,ATL,2023-01-07 19:00:00,0.0,0.0,83,317
165,AA,ORD,ATL,2023-01-07 20:00:00,35.0,-3.0,162,413
166,UA,ORD,SFO,2023-01-07 21:00:00,0.0,12.0,109,779
167,AA,JFK,SEA,2023-01-07 22:00:00,59.0,55.0,128,1345
168,JB,LAX,MIA,2023-01-07 23:00:00,45.0,-10.0,30,520
169,AA,DEN,PHX,2023-01-08 00:00:00,1.0,-7.0,154,1072
170,SW,LAX,PHX,2023-01-08 01:00:00,44.0,1.0,115,1141
171,AA,JFK,SEA,2023-01-08 02:00:00,0.0,6.0,92,520
172,SW,DEN,PHX,2023-01-08 03:00:00,4.0,52.0,72,1188
173,JB,DFW,SFO,2023-01-08 04:00:00,12.0,28.0,157,1089
174,JB,LAX,ATL,2023-01-08 05:00:00,0.0,8.0,164,768
175,JB,DFW,MIA,2023-01-08 06:00:00,8.0,-10.0,69,908
176,UA,ORD,SEA,2023-01-08 07:00:00,0.0,28.0,85,1114
177,JB,LAX,ATL,2023-01-08 08:00:00,2.0,34.0,120,391
178,AA,DFW,ATL,2023-01-08 09:00:00,4.0,42.0,85,1290
179,UA,LAX,SFO,2023-01-08 10:00:00,10.0,32.0,143,847
180,JB,DEN,MIA,2023-01-08 11:00:00,33.0,-10.0,78,1016
181,UA,JFK,MIA,2023-01-08 12:00:00,0.0,-7.0,97,982
182,DL,JFK,SFO,2023-01-08 13:00:00,7.0,-10.0,119,944
183,SW,DEN,SEA,2023-01-08 14:00:00,60.0,-10.0,81,431
184,AA,LAX,SFO,2023-01-08 15:00:00,0.0,19.0,127,466
185,UA,ORD,SFO,2023-01-08 16:00:00,0.0,-10.0,38,928
186,UA,LAX,SEA,2023-01-08 17:00:00,38.0,-5.0,146,218
187,SW,LAX,SEA,2023-01-08 18:00:00,,14.0,120,855
188,AA,DFW,SFO,2023-01-08 19:00:00,30.0,-10.0,101,508
189,DL,DEN,PHX,2023-01-08 20:00:00,61.0,32.0,151,818
190,SW,DFW,MIA,2023-01-08 21:00:00,0.0,-10.0,105,1043
191,JB,DFW,SEA,2023-01-08 22:00:00,43.0,-10.0,119,641
192,DL,ORD,PHX,2023-01-08 23:00:00,25.0,4.0,133,784
193,AA,JFK,SFO,2023-01-09 00:00:00,11.0,22.0,136,1112
194,JB,DEN,ATL,2023-01-09 01:00:00,0.0,37.0,118,774
195,JB,ORD,SFO,2023-01-09 02:00:00,0.0,8.0,96,433
196,AA,DFW,ATL,2023-01-09 03:00:00,0.0,6.0,91,1340
197,SW,DFW,SEA,2023-01-09 04:00:00,29.0,3.0,103,1034
198,JB,JFK,SEA,2023-01-09 05:00:00,32.0,37.0,179,463
199,SW,JFK,SFO,2023-01-09 06:00:00,14.0,-10.0,132,263
200,AA,ORD,ATL,2023-01-09 07:00:00,,51.0,82,429
201,JB,ORD,SEA,2023-01-09 08:00:00,0.0,27.0,94,847
202,SW,ORD,MIA,2023-01-09 09:00:00,0.0,,241,1059
203,DL,DEN,SEA,2023-01-09 10:00:00,27.0,-10.0,110,1433
204,JB,DEN,PHX,2023-01-09 11:00:00,0.0,30.0,140,933
205,UA,DEN,ATL,2023-01-09 12:00:00,0.0,13.0,157,996
206,AA,LAX,PHX,2023-01-09 13:00:00,0.0,39.0,196,391
207,DL,LAX,MIA,2023-01-09 14:00:00,68.0,9.0,121,854
208,JB,JFK,SFO,2023-01-09 15:00:00,0.0,28.0,80,668
209,DL,DEN,MIA,2023-01-09 16:00:00,30.0,-10.0,128,688
210,AA,DFW,MIA,2023-01-09 17:00:00,0.0,,77,1001
211,AA,LAX,SEA,2023-01-09 18:00:00,20.0,10.0,102,466
212,SW,LAX,MIA,2023-01-09 19:00:00,25.0,-10.0,156,675
213,SW,DFW,MIA,2023-01-09 20:00:00,5.0,66.0,117,1427
214,JB,LAX,SFO,2023-01-09 21:00:00,0.0,31.0,146,836
215,UA,ORD,SFO,2023-01-09 22:00:00,2.0,,123,567
216,DL,DFW,SEA,2023-01-09 23:00:00,36.0,,127,864
217,AA,LAX,ATL,2023-01-10 00:00:00,21.0,14.0,116,592
218,DL,LAX,SFO,2023-01-10 01:00:00,47.0,-3.0,99,976
219,AA,DEN,MIA,2023-01-10 02:00:00,0.0,26.0,177,1275
220,UA,LAX,MIA,2023-01-10 03:00:00,0.0,35.0,99,1264
221,SW,DFW,SFO,2023-01-10 04:00:00,6.0,4.0,159,497
222,SW,ORD,ATL,2023-01-10 05:00:00,18.0,3.0,79,1475
223,JB,LAX,SEA,2023-01-10 06:00:00,40.0,-5.0,141,622
224,SW,ORD,PHX,2023-01-10 07:00:00,14.0,8.0,206,912
225,UA,LAX,SEA,2023-01-10 08:00:00,59.0,7.0,141,997
226,SW,LAX,SFO,2023-01-10 09:00:00,38.0,1.0,143,1057
227,UA,ORD,PHX,2023-01-10 10:00:00,0.0,16.0,154,369
228,DL,ORD,PHX,2023-01-10 11:00:00,0.0,6.0,169,1546
229,SW,JFK,MIA,2023-01-10 12:00:00,8.0,-10.0,139,1057
230,JB,JFK,ATL,2023-01-10 13:00:00,2.0,-10.0,137,1140
231,DL,DEN,PHX,2023-01-10 14:00:00,4.0,-5.0,145,509
232,AA,DEN,MIA,2023-01-10 15:00:00,36.0,-10.0,169,341
233,DL,DEN,PHX,2023-01-10 16:00:00,0.0,0.0,126,518
234,DL,DEN,SEA,2023-01-10 17:00:00,1.0,23.0,179,985
235,SW,ORD,PHX,2023-01-10 18:00:00,0.0,-9.0,154,755
236,UA,DFW,PHX,2023-01-10 19:00:00,0.0,-10.0,183,664
237,AA,JFK,PHX,2023-01-10 20:00:00,8.0,11.0,132,1137
238,SW,LAX,PHX,2023-01-10 21:00:00,20.0,-10.0,114,851
239,SW,DEN,MIA,2023-01-10 22:00:00,0.0,28.0,63,432
240,JB,ORD,SFO,2023-01-10 23:00:00,10.0,25.0,111,408
241,AA,LAX,SEA,2023-01-11 00:00:00,41.0,,127,557
242,SW,LAX,PHX,2023-01-11 01:00:00,36.0,-10.0,98,872
243,SW,LAX,SEA,2023-01-11 02:00:00,0.0,-10.0,150,1123
244,AA,ORD,ATL,2023-01-11 03:00:00,83.0,-10.0,30,618
245,DL,LAX,ATL,2023-01-11 04:00:00,0.0,-10.0,135,677
246,JB,JFK,MIA,2023-01-11 05:00:00,14.0,20.0,129,1234
247,SW,DFW,SFO,2023-01-11 06:00:00,0.0,1.0,142,1149
248,UA,DFW,PHX,2023-01-11 07:00:00,60.0,-10.0,93,1090
249,SW,DEN,PHX,2023-01-11 08:00:00,45.0,21.0,206,407
250,DL,ORD,MIA,2023-01-11 09:00:00,70.0,-10.0,141,1310
251,SW,ORD,MIA,2023-01-11 10:00:00,0.0,-10.0,175,413
252,JB,ORD,MIA,2023-01-11 11:00:00,10.0,19.0,116,502
253,UA,DFW,SEA,2023-01-11 12:00:00,6.0,11.0,94,936
254,AA,ORD,SEA,2023-01-11 13:00:00,0.0,-5.0,136,359
255,UA,DFW,PHX,2023-01-11 14:00:00,46.0,-4.0,96,1055
256,AA,JFK,PHX,2023-01-11 15:00:00,10.0,-10.0,115,954
257,AA,ORD,PHX,2023-01-11 16:00:00,26.0,12.0,66,824
258,UA,JFK,SEA,2023-01-11 17:00:00,0.0,39.0,90,758
259,JB,DFW,SFO,2023-01-11 18:00:00,21.0,1.0,148,890
260,UA,LAX,PHX,2023-01-11 19:00:00,1.0,3.0,173,1077
261,AA,LAX,SEA,2023-01-11 20:00:00,38.0,-10.0,132,1207
262,SW,JFK,MIA,2023-01-11 21:00:00,0.0,-2.0,78,877
263,SW,JFK,SEA,2023-01-11 22:00:00,34.0,2.0,155,940
264,JB,JFK,PHX,2023-01-11 23:00:00,45.0,24.0,192,1601
265,AA,JFK,PHX,2023-01-12 00:00:00,42.0,0.0,117,857
266,SW,LAX,SEA,2023-01-12 01:00:00,1.0,16.0,111,1099
267,UA,JFK,PHX,2023-01-12 02:00:00,10.0,-10.0,111,576
268,UA,DEN,SFO,2023-01-12 03:00:00,0.0,0.0,142,1193
269,AA,LAX,PHX,2023-01-12 04:00:00,0.0,,105,111
270,UA,LAX,ATL,2023-01-12 05:00:00,,13.0,128,806
271,UA,ORD,ATL,2023-01-12 06:00:00,12.0,31.0,110,916
272,DL,ORD,MIA,2023-01-12 07:00:00,9.0,-10.0,131,1672
273,JB,DFW,ATL,2023-01-12 08:00:00,22.0,-10.0,203,1458
274,UA,DFW,SFO,2023-01-12 09:00:00,33.0,-10.0,122,824
275,SW,ORD,ATL,2023-01-12 10:00:00,14.0,0.0,154,1500
276,SW,JFK,MIA,2023-01-12 11:00:00,0.0,20.0,162,555
277,JB,DEN,ATL,2023-01-12 12:00:00,0.0,26.0,158,898
278,DL,ORD,SFO,2023-01-12 13:00:00,0.0,-10.0,150,661
279,UA,ORD,MIA,2023-01-12 14:00:00,0.0,7.0,96,1246
280,SW,ORD,MIA,2023-01-12 15:00:00,0.0,-10.0,106,431
281,SW,DFW,ATL,2023-01-12 16:00:00,9.0,23.0,127,1050
282,DL,DEN,SFO,2023-01-12 17:00:00,47.0,45.0,118,653
283,JB,DEN,SEA,2023-01-12 18:00:00,35.0,68.0,121,939
284,DL,JFK,SFO,2023-01-12 19:00:00,0.0,16.0,51,832
285,UA,DEN,SFO,2023-01-12 20:00:00,23.0,-10.0,129,394
286,JB,LAX,SFO,2023-01-12 21:00:00,0.0,-10.0,151,1445
287,DL,DEN,MIA,2023-01-12 22:00:00,0.0,7.0,159,950
288,DL,DEN,SEA,2023-01-12 23:00:00,12.0,5.0,173,672
289,DL,DEN,ATL,2023-01-13 00:00:00,11.0,-10.0,119,839
290,DL,DEN,ATL,2023-01-13 01:00:00,0.0,32.0,110,844
291,JB,DEN,PHX,2023-01-13 02:00:00,0.0,17.0,117,520
292,DL,DEN,ATL,2023-01-13 03:00:00,34.0,23.0,87,833
293,SW,LAX,SFO,2023-01-13 04:00:00,0.0,,117,1128
294,AA,DFW,SEA,2023-01-13 05:00:00,8.0,3.0,98,1090
295,SW,DEN,MIA,2023-01-13 06:00:00,,5.0,144,587
296,DL,ORD,MIA,2023-01-13 07:00:00,4.0,-10.0,85,1022
297,DL,JFK,MIA,2023-01-13 08:00:00,0.0,4.0,130,955
298,JB,DEN,MIA,2023-01-13 09:00:00,35.0,25.0,87,922
299,UA,LAX,MIA,2023-01-13 10:00:00,0.0,18.0,89,1020
300,UA,LAX,ATL,2023-01-13 11:00:00,14.0,-10.0,118,873
301,JB,DFW,MIA,2023-01-13 12:00:00,0.0,15.0,137,178
302,UA,ORD,SEA,2023-01-13 13:00:00,0.0,27.0,126,998
303,JB,DFW,MIA,2023-01-13 14:00:00,0.0,-10.0,100,813
304,UA,JFK,MIA,2023-01-13 15:00:00,12.0,-10.0,143,790
305,AA,DFW,MIA,2023-01-13 16:00:00,0.0,-10.0,140,1351
306,UA,DFW,SEA,2023-01-13 17:00:00,2.0,-10.0,113,828
307,SW,DEN,MIA,2023-01-13 18:00:00,0.0,-7.0,137,1408
308,UA,DFW,SFO,2023-01-13 19:00:00,19.0,22.0,127,1022
309,UA,ORD,PHX,2023-01-13 20:00:00,0.0,-10.0,173,1095
310,SW,ORD,ATL,2023-01-13 21:00:00,94.0,41.0,231,1099
311,JB,ORD,ATL,2023-01-13 22:00:00,71.0,44.0,138,1280
312,DL,ORD,MIA,2023-01-13 23:00:00,18.0,28.0,110,577
313,JB,DFW,PHX,2023-01-14 00:00:00,35.0,31.0,79,661
314,JB,DEN,SFO,2023-01-14 01:00:00,0.0,-10.0,95,1281
315,AA,DFW,PHX,2023-01-14 02:00:00,29.0,45.0,77,462
316,UA,ORD,ATL,2023-01-14 03:00:00,11.0,18.0,150,1337
317,UA,ORD,ATL,2023-01-14 04:00:00,0.0,7.0,140,1503
318,AA,DFW,MIA,2023-01-14 05:00:00,36.0,23.0,171,1083
319,JB,ORD,ATL,2023-01-14 06:00:00,11.0,14.0,138,1137
320,SW,DEN,SEA,2023-01-14 07:00:00,0.0,-10.0,98,1043
321,DL,DFW,MIA,2023-01-14 08:00:00,1.0,18.0,87,774
322,JB,DFW,ATL,2023-01-14 09:00:00,39.0,-3.0,184,781
323,DL,DEN,SEA,2023-01-14 10:00:00,19.0,-10.0,118,982
324,UA,DFW,MIA,2023-01-14 11:00:00,0.0,-10.0,144,837
325,AA,ORD,PHX,2023-01-14 12:00:00,27.0,4.0,88,774
326,JB,ORD,ATL,2023-01-14 13:00:00,20.0,18.0,120,455
327,SW,LAX,MIA,2023-01-14 14:00:00,0.0,-10.0,251,1000
328,UA,JFK,ATL,2023-01-14 15:00:00,,,53,898
329,AA,ORD,ATL,2023-01-14 16:00:00,22.0,-6.0,101,1129
330,JB,JFK,SEA,2023-01-14 17:00:00,26.0,-1.0,200,995
331,UA,JFK,ATL,2023-01-14 18:00:00,3.0,-10.0,80,792
332,SW,DEN,ATL,2023-01-14 19:00:00,0.0,-9.0,110,411
333,AA,DFW,MIA,2023-01-14 20:00:00,,17.0,113,897
334,UA,ORD,SFO,2023-01-14 21:00:00,0.0,,120,909
335,JB,JFK,ATL,2023-01-14 22:00:00,1.0,3.0,30,683
336,DL,DFW,SFO,2023-01-14 23:00:00,0.0,-10.0,134,616
337,SW,DEN,SFO,2023-01-15 00:00:00,,,126,853
338,JB,JFK,MIA,2023-01-15 01:00:00,0.0,-10.0,145,322
339,AA,JFK,PHX,2023-01-15 02:00:00,42.0,-8.0,135,496
340,AA,ORD,MIA,2023-01-15 03:00:00,,14.0,155,1280
341,AA,ORD,SEA,2023-01-15 04:00:00,20.0,7.0,40,716
342,JB,DEN,SEA,2023-01-15 05:00:00,6.0,15.0,138,963
343,UA,DFW,MIA,2023-01-15 06:00:00,0.0,40.0,112,1194
344,AA,DEN,MIA,2023-01-15 07:00:00,0.0,-9.0,121,1050
345,SW,LAX,ATL,2023-01-15 08:00:00,50.0,9.0,134,1082
346,SW,LAX,SEA,2023-01-15 09:00:00,4.0,-10.0,113,1006
347,AA,ORD,ATL,2023-01-15 10:00:00,0.0,14.0,154,710
348,DL,JFK,SFO,2023-01-15 11:00:00,11.0,-10.0,110,756
349,AA,DFW,SEA,2023-01-15 12:00:00,9.0,6.0,164,714
350,DL,ORD,SEA,2023-01-15 13:00:00,2.0,-10.0,89,731
351,SW,DFW,SFO,2023-01-15 14:00:00,0.0,19.0,109,1290
352,UA,ORD,SEA,2023-01-15 15:00:00,47.0,46.0,157,1054
353,AA,ORD,PHX,2023-01-15 16:00:00,7.0,29.0,129,1182
354,DL,LAX,PHX,2023-01-15 17:00:00,30.0,-10.0,90,821
355,DL,DFW,ATL,2023-01-15 18:00:00,0.0,11.0,105,833
356,SW,ORD,PHX,2023-01-15 19:00:00,26.0,2.0,143,1108
357,AA,ORD,SEA,2023-01-15 20:00:00,0.0,54.0,140,867
358,UA,DEN,PHX,2023-01-15 21:00:00,0.0,19.0,113,241
359,SW,JFK,ATL,2023-01-15 22:00:00,4.0,-10.0,129,662
360,UA,LAX,SEA,2023-01-15 23:00:00,0.0,-7.0,114,957
361,DL,DFW,ATL,2023-01-16 00:00:00,0.0,,101,396
